pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-10-01,92.6,-1.49,6.29,"Meadows, Parker",678009,608337,field_out,hit_into_play,,,,,1.0,Parker Meadows lines out to left fielder Steven Kwan.,R,L,R,DET,CLE,X,7.0,line_drive,1,1,2023,-0.53,1.52,-0.32,3.45,,,668670.0,1,4,Bot,45.86,85.99,,,666310,,,4.163580662558759,-134.84656789474312,-4.818693079570215,-7.335611369952474,28.664162252037524,-12.814249205724012,3.42,1.6,341.0,97.0,23.0,93.2,2327.0,6.5,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,53.96,0.257,0.295,0.0,1.0,0.0,0.0,5.0,35,3,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,205.0,-0.019,-0.283
FF,2023-10-01,93.8,-1.48,6.27,"Meadows, Parker",678009,608337,,called_strike,,,,,6.0,Parker Meadows lines out to left fielder Steven Kwan.,R,L,R,DET,CLE,S,,,1,0,2023,-0.55,1.55,0.41,2.19,,,668670.0,1,4,Bot,,,,,666310,,,6.146174413575478,-136.36514879515127,-8.338809881785588,-8.161796574810266,28.468972723716195,-11.194251447181262,3.45,1.6,,,,94.7,2402.0,6.8,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,53.74,,,,,,,,35,2,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,202.0,0.0,-0.062
SL,2023-10-01,83.9,-1.68,6.25,"Meadows, Parker",678009,608337,,blocked_ball,,,,,14.0,Parker Meadows lines out to left fielder Steven Kwan.,R,L,R,DET,CLE,B,,,0,0,2023,0.19,0.07,0.34,0.8,,,668670.0,1,4,Bot,,,,,666310,,,4.331368511422355,-122.16322499323483,-6.511752842249649,1.2330688983967395,18.406496898753804,-30.65865416473613,3.35,1.67,,,,85.0,2034.0,6.5,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,54.03,,,,,,,,35,1,Slider,3,1,3,1,1,3,3,1,Standard,Standard,329.0,0.0,0.042
CH,2023-10-01,80.7,-1.65,6.23,"Meadows, Parker",678009,608337,field_out,hit_into_play,,,,,13.0,"Parker Meadows grounds out, second baseman Jose Tena to first baseman Josh Naylor.   Javier Baez to 3rd.",R,L,R,DET,CLE,X,4.0,ground_ball,3,2,2023,-1.08,0.77,-0.88,1.79,,595879.0,,1,2,Bot,158.37,153.95,,,666310,,,3.800900125827511,-117.50988095058896,-4.777385035715336,-10.759988596987409,20.223913416950463,-24.33543476567966,3.42,1.6,12.0,84.9,-9.0,81.5,1629.0,6.6,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,53.91,0.109,0.098,0.0,1.0,0.0,0.0,2.0,17,6,Changeup,2,0,2,0,0,2,2,0,Standard,Standard,223.0,-0.02,-0.385
SL,2023-10-01,81.3,-1.82,6.34,"Meadows, Parker",678009,608337,,called_strike,,,,,1.0,"Parker Meadows grounds out, second baseman Jose Tena to first baseman Josh Naylor.   Javier Baez to 3rd.",R,L,R,DET,CLE,S,,,3,1,2023,0.05,-0.02,-0.29,3.2,,595879.0,,1,2,Bot,,,,,666310,,,3.334197411392166,-118.29414044643504,-0.2709776010672071,-0.2616742837061493,26.61594596113418,-32.5949518063189,3.44,1.67,,,,80.7,1944.0,6.3,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,54.22,,,,,,,,17,5,Slider,2,0,2,0,0,2,2,0,Standard,Standard,37.0,0.0,-0.075
FF,2023-10-01,93.2,-1.56,6.32,"Meadows, Parker",678009,608337,,ball,,,,,14.0,"Parker Meadows grounds out, second baseman Jose Tena to first baseman Josh Naylor.   Javier Baez to 3rd.",R,L,R,DET,CLE,B,,,2,1,2023,-0.25,1.44,0.35,1.36,,595879.0,,1,2,Bot,,,,,666310,,,5.482584427198656,-135.46428501671235,-10.216207736315368,-4.140230272023968,27.248453101539752,-12.480367328576076,3.42,1.64,,,,93.9,2115.0,6.6,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,53.93,,,,,,,,17,4,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,209.0,0.0,0.076
SL,2023-10-01,82.2,-1.76,6.38,"Meadows, Parker",678009,608337,,called_strike,,,,,2.0,"Parker Meadows grounds out, second baseman Jose Tena to first baseman Josh Naylor.   Javier Baez to 3rd.",R,L,R,DET,CLE,S,,,2,0,2023,0.19,0.14,0.1,3.18,,595879.0,,1,2,Bot,,,,,666310,,,3.85204756154064,-119.64006748880152,-0.9377258997262656,1.0358147578326395,24.623376940635584,-30.86617245232218,3.47,1.62,,,,82.0,2081.0,6.3,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,54.23,,,,,,,,17,3,Slider,2,0,2,0,0,2,2,0,Standard,Standard,59.0,0.0,-0.04
CH,2023-10-01,81.5,-1.62,6.21,"Meadows, Parker",678009,608337,,blocked_ball,,,,,14.0,"Parker Meadows grounds out, second baseman Jose Tena to first baseman Josh Naylor.   Javier Baez to 3rd.",R,L,R,DET,CLE,B,,,1,0,2023,-0.99,1.04,0.23,0.34,,595879.0,,1,2,Bot,,,,,666310,,,6.104205530815292,-118.39682022920162,-8.700869897334956,-10.417674920554424,20.56466405577907,-20.946074107900408,3.51,1.69,,,,82.3,1718.0,6.7,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,53.79,,,,,,,,17,2,Changeup,2,0,2,0,0,2,2,0,Standard,Standard,223.0,0.0,0.044
FF,2023-10-01,92.6,-1.57,6.33,"Meadows, Parker",678009,608337,,ball,,,,,13.0,"Parker Meadows grounds out, second baseman Jose Tena to first baseman Josh Naylor.   Javier Baez to 3rd.",R,L,R,DET,CLE,B,,,0,0,2023,-0.45,1.58,-0.23,1.5,,595879.0,,1,2,Bot,,,,,666310,,,4.418947946791064,-134.47296016499843,-10.01241243046932,-6.418672983141907,28.105908290828843,-11.041722784388384,3.42,1.62,,,,93.1,2198.0,6.6,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,53.89,,,,,,,,17,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,206.0,0.0,0.042
FF,2023-10-01,95.6,-1.89,5.56,"Meadows, Parker",678009,663986,field_out,hit_into_play,,,,,5.0,Parker Meadows flies out to center fielder Ramon Laureano.,R,L,R,DET,CLE,X,8.0,fly_ball,0,0,2023,-0.63,1.44,0.12,2.7,,668731.0,595879.0,1,8,Bot,123.72,48.17,,,666310,,,6.735280360342603,-139.17134558538166,-5.245934228566419,-9.569066298531329,28.53809643216328,-12.469943091755567,3.42,1.6,372.0,99.3,26.0,96.5,2561.0,6.6,716361,663986,666310,647304,677588,671289,677587,680757,657656,660757,53.94,0.454,0.735,0.0,1.0,0.0,0.0,6.0,67,1,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,225.0,-0.005,-0.463
